Helyrajziszam,Telepules,Tombazonosito,Epulet_funkcio,Epulet_funkcio_est,Szum_A,Szum_A_cs,Ee,Ee_est,Ee_cs,Ee_cs_est,E0,a,te,Sz,Tbr,Tn_Tbr,Ter_est,Ter,deltaEe,deltaQe,Tipusszam_est,Tipusszam,Ee_vil_cs,Ee_vil,Evil,Evil_est,Evil_cs,Evil_cs_est,Ee_vil_real_cs,k,k_est,Ael_est_cs,Etech_est,Aelcs_est_cs,Aga_est_cs,Aol_est_cs,Asz_est_cs,Abm_est_cs,Ath_est_cs,Ael_est,Aelcs_est,Aga_est,Aol_est,Asz_est,Abm_est,Ath_est,Ael,Aelcs,Aga,Aol,Asz,Abm,Ath,Ael_cs,Aga_cs,Aol_cs,Asz_cs,Abm_cs,Ath_cs,Etech,Eel_cs,Aelcs_cs,Eel_cs_cs,Ega_cs,Eol_cs,Esz_cs,Ebm_cs,Eth_cs,nEel,nEel_csil,nEga,nEol,nEsz,nEbm,nEth,pote,Ee_vil_real,Qe_vil,Qe_vil_cs,Qe_vil_real,Qe_vil_real_cs,Qel,Qel_csil,Qga,Qol,Qsz,Qbm,Qth,Qel_cs,Qel_cs_cs,Qga_cs,Qol_cs,Qsz_cs,Qbm_cs,Qth_cs,Qel_real,Qel_cs_real,Qga_real,Qol_real,Qsz_real,Qbm_real,Qth_real,Qel_real_cs,Qel_cs_real_cs,Qga_real_cs,Qol_real_cs,Qsz_real_cs,Qbm_real_cs,Qth_real_cs,Qth_real_est,Qel_real_est,Qel_cs_real_est,Qga_real_est,Qol_real_est,Qsz_real_est,Qbm_real_est,Qel_real_cs_est,Qel_cs_real_cs_est,Qga_real_cs_est,Qol_real_cs_est,Qsz_real_cs_est,Qbm_real_cs_est,Qth_real_cs_est,eel,eelcs,ega,eol,esz,ebm,eth,d_el,delest,delcs,delcsest,dga,dgaest,dol,dolest,dsz,dszest,dbm,dbmest,dth,dthest,De_cs,De,fCO2_el,fCO2_el_est,fCO2_el_cs,fCO2_el_cs_est,fCO2_ga,fCO2_ga_est,fCO2_ol,fCO2_ol_est,fCO2_sz,fCO2_sz_est,fCO2_bm,fCO2_bm_est,fCO2_th,fCO2_th_est,TFCO2_e,TFCO2_e_cs,deltaTFCO2_e,d_el_lak,delest_lak,delcs_lak,delcsest_lak,dga_lak,dgaest_lak,dol_lak,dolest_lak,dsz_lak,dszest_lak,dbm_lak,dbmest_lak,dth_lak,dthest_lak,Epulet_azonosito
HUN_Szarvaskő_072,Szarvaskő,,,,True,True,,0.0,,0,0,1,42.33808086,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00003
HUN_Szarvaskő_69/1,Szarvaskő,Szarvaskő_013,,,True,True,,0.0,,0,0,1,124.3890243,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00004
HUN_Szarvaskő_69/1,Szarvaskő,,,,True,True,,0.0,,0,0,1,19.51655537,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00005
HUN_Szarvaskő_174,Szarvaskő,,,,True,True,,0.0,,0,0,1,76.20378657,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00006
HUN_Szarvaskő_171,Szarvaskő,Szarvaskő_002,,,True,True,,0.0,,0,0,1,70.39000001,1,70.39000001,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00007
HUN_Szarvaskő_497,Szarvaskő,,,,True,True,,0.0,,0,0,1,5.775040006,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00008
HUN_Szarvaskő_425,Szarvaskő,,,,True,True,,0.0,,0,0,1,12.81,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00009
HUN_Szarvaskő_544,Szarvaskő,,,,True,True,,0.0,,0,0,1,11.82,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00010
HUN_Szarvaskő_505,Szarvaskő,,,,True,True,,0.0,,0,0,1,46.945,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00011
HUN_Szarvaskő_505,Szarvaskő,,,,True,True,,0.0,,0,0,1,2.209999999,0.0,0.0,0,0.0,,0.0,0.0,,,0.0,0.0,,0,,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,1,1,1,0.6,1.26,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.0,0.0,0.0,,0,,0,,0,,0,,0,,0,,0,Szarvaskő_00012
